iter	Passed	Remaining
936	3980	267
937	3984	263
938	3988	259
939	3992	254
940	3996	250
941	4000	246
942	4003	242
943	4008	237
944	4011	233
945	4016	229
946	4020	225
947	4024	220
948	4028	216
949	4031	212
950	4035	207
951	4039	203
952	4051	199
953	4056	195
954	4060	191
955	4063	187
956	4067	182
957	4071	178
958	4076	174
959	4079	169
960	4083	165
961	4087	161
962	4091	157
963	4095	152
964	4099	148
965	4104	144
966	4108	140
967	4112	135
968	4116	131
969	4120	127
970	4124	123
971	4129	118
972	4132	114
973	4136	110
974	4140	106
975	4144	101
976	4148	97
977	4152	93
978	4156	89
979	4161	84
980	4164	80
981	4169	76
982	4173	72
983	4177	67
984	4181	63
985	4185	59
986	4190	55
987	4194	50
988	4198	46
989	4201	42
990	4205	38
991	4210	33
992	4214	29
993	4217	25
994	4221	21
995	4225	16
996	4230	12
997	4234	8
998	4238	4
999	4243	0
